imdb_id,title,original_title,year,rating,companies,country,language,duration,directors,writers,actors,genres,synopsis,budget,gross_us,gross_worldwide,score,votes
tt2518788,1,,2013,Not Rated,"Diamond Docs, Exclusive Media Group",USA,English,112.0,Paul Crowder,Mark Monroe,"Michael Fassbender, Niki Lauda, Lewis Hamilton","Documentary, History, Sport","Set in the golden era of Grand Prix Racing '1' tells the story of a generation of charismatic drivers who raced on the edge, risking their lives during Formula 1's deadliest period, and the men who stood up and changed the sport forever.",,,,8.0,3535.0
tt0443649,"10,000 BC",,2008,PG-13,"Warner Bros., Legendary Entertainment",USA,English,109.0,Roland Emmerich,"Roland Emmerich, Harald Kloser","Camilla Belle, Steven Strait, Marco Khan","Action, Adventure, Drama","In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.",105000000,94784201.0,269784201,5.1,121431.0
tt2937158,Ek Hazarachi Note,,2014,Not Rated,Infinitum Productions,India,Marathi,89.0,Shrihari Sathe,Shrikant Bojewar,"Devendra Gaikwad, Usha Naik, Pooja Nayak",Drama,"In this exploration of money and conscience, a poor woman receives a thousand-rupee note from a politician at election time, but the note proves to be a mixed blessing.",,2404.0,2404,7.3,309.0
tt2391950,1000 to 1: The Cory Weissman Story,,2014,Not Rated,,USA,English,99.0,Michael Levine,Bob Burris,"David Henrie, Luke Kleintank, Beau Bridges","Biography, Drama","Cory Weissman is a college basketball player who suffers a devastating stroke. He perseveres to find new meaning in his life both on, and more importantly, off the court.",,,,6.9,970.0
tt6105714,100 Blocks,,2017,,,USA,English,87.0,Diaunte Thompson,Arthur Walls,"Sara Anders, Mitch Costanza, Tina Gilton",Drama,"When a young man tries to escape the cycle of violence and leave the streets behind, he finds himself at a crossroads as unexpected events change his plans.",,,,7.8,12.0
tt2290065,100 Bloody Acres,,2012,Not Rated,"Cyan Films, Major International Pictures",Australia,English,91.0,"Cameron Cairnes, Colin Cairnes","Cameron Cairnes, Colin Cairnes","Damon Herriman, Angus Sampson, Anna McGahan","Comedy, Horror","Reg and Lindsay run an organic fertiliser business. They need a fresh supply of their ""secret ingredient"" to process through the meat grinder. Reg comes across two guys and a girl with a broken-down vehicle on their way to a music festival.",,6388.0,6388,6.0,3532.0
tt0100694,100 Days Before the Command,Sto dney do prikaza,1991,Not Rated,"Gorky Film Studios, Goskino",Russia,Russian,71.0,Hussein Erkenov,"Vladimir Kholodov, Yuri Polyakov","Vladimir Zamanskiy, Armen Dzhigarkhanyan, Oleg Vasilkov",Drama,Five young Soviet Army recruits struggle for survival against the merciless violence that surrounds them on a daily basis. Their only means of saving their dignity is by preserving the ,,,,5.3,354.0
tt8156742,100 Days of Loneliness,100 días de soledad,2018,,"Gobierno del Principado de Asturias, Ministerio de Educación, Cultura y Deporte",Spain,Spanish,93.0,"José Díaz , Gerardo Olivares",José Díaz,,"Documentary, Drama",An extraordinary and touching tale about a man alone in the nature.,,,22158,6.6,224.0
tt2538128,100 Degrees Below Zero,,2013,Not Rated,"Next Station Productions, The Asylum",USA,English,89.0,R.D. Braunstein,"H. Perry Horton , Richard Schenkman","Jeff Fahey, Sara Malakul Lane, Marc Ewins","Action, Adventure, Drama","When a chain of volcanic eruptions rips through Europe, the enormous ash cloud blocks out the sun, plunging the continent into a new ice age. An American couple must find their kids and get them out of Paris before it freezes over.",,,,2.4,1840.0
tt3488056,10.0 Earthquake,,2014,PG,Indy Entertainment,USA,English,88.0,David Gidali,"J. Greg Abbott , Alex Greenfield","Rachel Sterling, Chasty Ballesteros, Cameron Richardson","Drama, Sci-Fi, Thriller","Los Angeles is about to be hit by a devastating earthquake, and time is running out to save the city from imminent danger.",,,,3.4,1506.0
tt2297108,100 Ghost Street: The Return of Richard Speck,,2012,R,The Asylum,USA,English,84.0,Martin Wichmann Andersen,,"Steve Bencich, Tony Besson, Hayley Derryberry","Horror, Mystery, Thriller","In 2010, paranormal investigators tried to film Richard Speck's ghost at the site of his heinous killing spree. The victims' families have finally released the footage that documents their last days.",150000,,,3.9,953.0
